Pocket_Money,Food,Travel,Entertainment,Other,Overspent
6859,2323,717,899,1039,0
2379,2482,675,1814,953,1
2492,1353,908,1760,1487,1
7276,550,970,521,1403,0
4062,1074,1246,1988,692,1
5884,1648,1196,1146,813,1
2064,2697,876,674,1281,1
4568,2861,913,242,731,1
7463,2852,282,1092,158,0
7248,2215,1368,764,227,0
4027,1181,1308,244,835,1
4695,1337,1301,1348,820,1
3495,1577,656,1106,1238,1
7258,2991,200,602,1332,0
7618,2811,250,920,625,0
2391,2095,884,1739,620,1
7794,504,916,203,651,0
6514,1626,648,1162,336,0
6474,1719,1080,297,1404,0
7892,1273,687,1769,1482,0
5561,1376,233,678,1324,0
4278,1491,294,490,1401,1
5099,546,1295,1302,1358,1
2200,768,353,653,593,1
7959,869,449,1571,103,0
6875,1135,873,1623,765,0
5104,1629,637,1138,541,0
6598,2193,317,1746,128,0
4454,2182,970,1792,1232,1
5645,1156,467,1412,709,0
7847,619,1277,577,904,0
2804,1330,435,1354,174,1
4731,2310,588,1022,937,1
7991,1581,1189,519,1269,0
4773,2474,962,256,227,1
3570,1869,600,649,141,1
7056,1240,823,1564,1479,0
7581,616,966,1220,140,0
4690,2353,1118,1120,1033,1
5840,1650,1430,1096,133,0
3028,2431,1452,1534,1140,1
2502,1512,1052,1050,1276,1
6493,2164,777,388,1097,0
2870,1581,274,1377,687,1
6488,1133,634,295,441,0
2206,1012,302,697,126,1
7134,1619,963,1957,1410,1
7977,1641,937,1645,745,0
3484,1059,1005,616,830,1
2863,987,297,1758,267,1
4790,1396,997,1965,709,1
2563,1712,1058,964,367,1
7116,1203,634,1241,920,0
6191,1970,646,905,554,0
3757,1080,448,1282,1005,1
3678,2794,365,914,1021,1
5242,653,1183,327,1080,0
6636,2179,1219,315,801,0
3059,1496,741,1047,733,1
7279,1743,958,1819,229,0
3722,1592,1329,114,1119,1
5314,1508,280,1280,1486,1
5157,2641,332,1771,918,1
7915,2273,996,1384,792,0
4625,1457,1099,1280,1415,1
4729,952,337,146,1494,0
3597,1727,383,423,893,1
5060,2765,984,943,128,1
4693,2979,1183,1808,248,1
6891,2888,268,229,1419,0
7147,1050,745,1534,110,0
7739,2135,252,194,775,0
5627,1812,404,726,1236,0
3363,2257,325,854,286,1
3981,856,242,1415,906,1
7450,2570,310,893,843,0
3663,2285,960,1934,1350,1
3529,2281,1406,1406,1433,1
4038,2989,1047,168,197,1
7592,2131,294,1783,154,0
5302,1515,1099,110,722,0
4237,1848,559,1377,763,1
7504,1015,1099,1965,857,0
7496,835,480,971,505,0
3306,2282,1418,649,168,1
6029,2805,1418,1257,1435,1
4675,996,866,811,1412,1
7068,1395,292,122,850,0
7864,2707,871,914,1271,0
3282,1351,260,445,1367,1
2709,2187,833,401,1057,1
7575,2431,1274,462,464,0
7530,2927,1228,495,581,0
6744,2068,803,317,300,0
6413,1456,881,240,253,0
5748,2136,733,1739,172,1
7353,1791,1037,1057,812,0
6779,1940,844,1333,395,0
2663,1691,432,1084,1140,1
3998,1566,723,1092,1340,1
5445,784,545,1746,160,0
5743,2944,1269,1739,1038,1
7727,511,745,927,141,0
3495,2130,1301,782,124,1
5304,1253,1296,1583,1162,1
5763,2582,993,1103,230,1
7232,589,448,455,1352,0
3853,1275,246,1107,207,0
7616,2125,1344,1447,271,0
6659,917,413,1256,201,0
3291,614,438,987,965,1
5581,1116,1279,1928,623,1
5457,1325,549,1963,374,0
3636,2149,306,226,1167,1
5696,2016,1030,1229,916,1
4999,912,247,1108,1056,0
5152,1228,536,703,1140,0
2698,1175,1249,1922,429,1
4160,2392,1003,1501,111,1
6097,2739,1480,1113,1441,1
6737,1622,207,150,315,0
7685,2071,824,1152,438,0
2854,1477,1476,1585,760,1
7855,1508,918,1419,1204,0
5474,2643,502,1420,473,1
7757,2187,838,1849,1075,0
7249,536,255,878,809,0
7172,2048,925,1530,1323,1
3707,2826,725,1892,565,1
4777,2764,673,913,1212,1
7791,1372,227,1736,1391,0
3733,2321,277,1528,588,1
7535,1796,1439,1469,146,0
6931,2609,564,1745,1411,1
5510,1095,865,519,877,0
2202,2403,725,1305,1139,1
5255,1228,898,1082,810,0
6218,1865,1082,924,500,0
6496,896,1230,1124,1080,0
2766,1198,1226,1954,1209,1
6389,2724,1118,666,349,0
4327,2135,949,470,490,1
4931,895,562,1035,434,0
2197,2992,1497,760,728,1
3930,575,1005,1554,236,1
5582,764,938,1068,982,0
2608,2319,1238,1432,787,1
5272,1217,1415,1260,926,1
3147,1350,684,301,826,1
6282,1890,227,1559,693,0
5397,643,913,412,1346,0
4511,1384,1262,216,1089,1
3794,895,1496,1789,471,1
2659,1992,1454,1036,1034,1
4811,1667,285,1926,1094,1
3369,1562,325,674,501,1
3986,2656,1011,343,714,1
7630,1565,736,636,1396,0
2146,1709,344,1725,1282,1
5219,2945,1435,174,1275,1
4911,1133,224,1929,1094,1
3734,1656,266,485,719,1
3843,1738,432,1333,287,1
2488,1232,308,574,1221,1
4976,734,1369,517,230,0
3959,1250,310,446,904,0
7759,1453,427,1652,1294,0
4385,2042,310,739,1035,1
4919,1697,233,1038,1085,1
6736,2176,822,1054,282,0
3802,1691,947,975,1082,1
7534,2717,794,862,463,0
6061,1916,624,1302,138,0
5369,1717,812,1305,596,1
7730,2040,891,763,1472,0
2262,2576,514,124,1081,1
7883,1945,1076,1303,1020,0
2623,2886,861,809,821,1
3016,2019,476,1624,1284,1
5643,1888,823,1979,115,1
6976,2356,715,1284,592,0
4049,1865,1042,276,1231,1
7423,999,549,384,993,0
5723,2180,1022,162,410,0
6548,1010,1360,1102,838,0
5108,716,958,761,1293,0
7279,1824,1098,765,645,0
6090,1655,442,255,513,0
4056,2327,742,1592,350,1
5170,2310,1263,1172,858,1
3682,2992,428,1066,1264,1
4255,1705,747,948,1397,1
3154,2714,1119,1207,1162,1
6499,590,1446,1484,913,0
5191,1213,205,788,128,0
3696,2381,667,247,1057,1
5991,538,274,1753,576,0
6723,672,203,441,417,0
6682,1152,845,575,344,0
3648,1253,317,1186,847,1
7539,1743,1080,1824,796,0
3445,1581,703,1483,371,1
6199,2183,1146,660,1362,1
5923,955,773,426,476,0
2253,1328,393,1892,365,1
5183,1394,1046,1859,1025,1
4557,1884,914,1264,1020,1
7592,2458,1249,1089,1482,1
2098,2934,372,314,439,1
